Text,'Love','Joy','Anxiety','Sorrow','Expect','Hate','Surprise','Anger',pred
我不 善 长 写 诗赋 词 但 我愿 用 几 奇妙 汉字 来 描述 日 华侨 华人 就 ： 富士山 下 勤学 东瀛 国 里 逞 雄,1,1,0,0,0,0,0,0,"Love,Expect"
各位 学长 在这里 请 允许 引用 ２００４年 ６月 １３日 我在 全 日本 中国 人 博士 协会 会馆 开馆 典礼 上 致词 一段话 来 概括 博 协 方向 ：,0,0,0,0,1,0,0,0,Expect
中国 人 对 世界 做出 更 大 贡献 这 中国 人 当然 包括 华侨 华人 及 海外 留学 人员,0,0,0,0,1,0,0,0,Expect
因此在 架桥 · 牵线 同时 今后 更 积极 投身 参与 所在国 科技 · 文化 · 经济 乃至 政治,0,0,0,0,1,0,0,0,Expect
这 不仅仅 争取 权利 更 义不容辞 义务 和 责任,0,0,0,0,1,0,0,0,Expect
可以 断言 成批 中国 人 科学家 专家 教授 艺术家 ＣＥＯ 出现 杰出 华人 议员 校长 州长 乃至 总统 产生 就 中国 人 对 世界 贡献,0,1,0,0,1,0,0,0,Expect
当然 强调 多数 留学 人员 回到 祖国 兢兢业业 复兴 伟大 中华 民族 繁荣 九百六十万 平方公里 华夏 富强 十三亿五千万 炎黄 更 中国 人 对 人类 贡献,1,1,0,0,1,0,0,0,Expect
各位 学长 经过 ９３ 载 岁月 考验 欧 美 同学会 海外 华侨 华人 社团 娘家 也 旅居 海外 会员 温馨 家园,1,0,0,0,0,0,0,0,Joy
她 所 倡导 科学 民主 精神 至今 仍 具有 现实 意义 和 实用 价值,1,1,0,0,0,0,0,0,Love
修学 游艺 敦 谊 励行 办 会 宗旨 经得起 风霜 雪 雨 洗礼,1,1,0,0,0,0,0,0,"Love,Expect"
再过 １０７ 年 或许 再过 ５７ 年 或许 只再 过 ７ 年 当 她 １００ 周岁 之时 会 发现 世界 上 没有 那个 组织 象 欧 美 同学会 那样 其 会员 地理 分布 阔 其 会员 专业 领域 分布 广 对 中国 崛起 贡献 大 对 振兴 科学 创新 多,1,1,0,0,1,0,0,0,"Love,Joy"
当前 知识化 信息化 浪潮 如 疾风 骤雨 般地 改变 着 人类 生活 生存 方式,0,1,0,0,0,0,0,0,Anxiety
人类 有史 以来 第一 次 面对 这样 现实 那 就 你 可以 任何 时间 任何 地点 与 你 所 希望 交流 人 进行 通讯,0,1,0,0,0,0,0,0,Joy
这 信息化 社会 基础 这也 智能化 社会 根基,1,0,0,0,0,0,0,0,Love
一个 充满 和谐 洋溢 互爱 信息 智能 社会 犹如 东方 已 见 晨曦 那 轮 即将 磅礴 而 出 朝阳 亦 象 那 踹 动 于 母 腹中 快要 成熟 婴儿,1,1,0,0,0,0,0,0,"Love,Expect"
这样 一个 伟大 变革 进程 包括 海外 留学 人员 团体 欧 美 同学会 中国 留学 人员 联谊会 应该 大有作为 必将 大有作为,1,1,0,0,1,0,0,0,Expect
谢谢,1,1,0,0,0,0,0,0,"Love,Joy"
路程 不 长 可 发生 系列 事情 呵呵 连续剧 哦 ￣￣,0,1,0,0,0,0,0,0,"Joy,Expect"
那 人 就 说 那 你 等 我会 司机 说 你 等 下一 班车 吧 那 人 就 不 肯 下 车 司机 就 不 肯 开车 就 这样 僵持 着,0,0,1,0,0,1,0,0,Anger
帮 你 投 吧,0,0,0,0,1,0,0,0,"Expect,Anger"
他 连声 道谢 淡淡 一笑 坐 回 位置,1,1,0,0,0,0,0,0,Joy
车 人 静静 注视 着 惊讶 不解 或者 不屑,0,0,0,0,0,1,1,0,"Sorrow,Surprise"
谁 错 呢,0,0,1,0,1,0,1,0,Sorrow
好像 都 没有 错,1,0,0,0,0,0,0,0,Joy
司机 的确 有权 要求 乘客 投币 才 能 坐 车 ； 中年人 手 里 明明 拿 着 钱 但 需要 找钱 ； 和 他 起 上车 呢 也 上车 就 投币 很 正常,0,0,1,0,1,0,0,0,Expect
其实 这 事 很 好 解决 啊 只要 大家 多 一点点 热情 就 可以 解决,1,0,0,0,1,0,0,0,Joy
司机 可以 提醒 他 说 ： 你 投 十 元 进去 就 门口 等 别人 投币 时 直接 给 你 就 行了,1,0,0,0,1,0,0,0,Expect
可是 她 没有 提醒 他 ； 而 他 呢 也 不 早 点 准备好 零钱 明知 道 投币 而且 不 能 找 钱 知道 没有 零钱 呢 应该 上车 前 就 和 大家 商量 好 把 准备 投 硬币 给 他 由 他 一个 人 投 进 十 元 就 可以 ； 和 他 起 上车 人 呢 也 可以 主动 帮助 他 把 准备 投 钱 给 他,0,0,0,0,1,1,0,0,Expect
要是 这样 大家 都 能 多 一点 热心 就 不至于象这样 大家 僵持 着,0,0,1,0,1,1,0,0,Expect
唉 冷漠 啊 多 事 不如 少 事 啊,0,0,1,1,0,1,0,0,Sorrow
可是 帮 他 投 一元 钱 又 能 什么 事 呢,0,0,1,0,0,0,0,0,"Anxiety,Sorrow"
也许 人家 会 心里 想 这个 人 脑子 又 问题 白白 扔 一元 钱 也许 有人 在想 这个 人 心眼 倒是 挺 好 也许 有人 会 想 哼 这 人 臭 显摆 出风头 呗 可是 可是 呵呵 不管 人家 怎么想 我不 就 少 一元 钱 吗,0,1,0,0,0,1,0,0,Anger
我还 少 什么,0,0,1,0,0,0,0,0,Sorrow
呵呵 没有 其实 根本 就 不 知道 别人 在想 什么 也许 别人 什么 都 没有 想,0,1,1,0,0,0,0,0,Sorrow
但 知道 那个 中年人 很 感激 就 事 这么 简单,0,1,0,0,0,0,0,0,Joy
车 继续 行驶 着 下一 站 倒 没有人 下车 只 上车 很 多 老太 站 起来 请 其中 老太 坐下 另 一个 就 没有人 站 起来 尽管 好 几 帅哥 美 眉 却 安心 地 看着 窗外,0,0,0,1,0,1,0,0,Joy
奈何,0,0,1,0,0,1,0,0,"Anxiety,Sorrow"
无奈 也,0,0,1,1,0,1,0,0,Sorrow
车 继续 行驶 下一 站 又 到站 上来 身怀六甲 孕妇 让 坐 老太 赶紧 站 起来 让 孕妇 坐下来 呵呵 感动 还 孕妇 或者 还有 更 多 人 都 被 感动 着,1,1,0,0,0,0,0,0,Joy
那位 没有 零钱 中年人 站 起来 让座,0,1,0,0,0,0,0,0,Expect
终于 帅哥 站 起来 让 刚 上车 一个 老大爷 坐下,0,1,0,0,0,0,0,0,Joy
呵呵 笑了,0,1,0,0,0,0,0,0,Joy
这才 我最 开心 时候,0,1,0,0,0,0,0,0,Joy
车 还 继续 行驶 着 可是 司机 语气 明显 热情 缓和 车 里 年轻人 站 起来 多 那个 中年人 临 下车 还 不 忘 对 再次 说 声 谢谢,1,1,0,0,0,0,0,0,"Love,Joy"
呵呵 其实 每个 人 都 只是 付出 那么 一点点 热情 和 关爱 这个 小小的 车厢 就 变 得 温馨 起来,1,1,0,0,0,0,0,0,"Love,Joy"
今天 这 辆 车上 所有人 一定 会 好心 情,0,1,0,0,1,0,0,0,"Joy,Expect"
爱 会 继续 传递,0,1,0,0,1,0,0,0,"Love,Expect"
呵呵 　　 短短的 快乐 之旅,1,1,0,0,0,0,0,0,Joy
金 妍 儿 和 浅 田 真 央 此前 历史 上 总共有 过 ８ 次 交锋 金 妍 儿 ３ 胜 ５ 负 处于 一定 劣势 特别 ２００８年 世锦赛 和 总 决赛 连败 让 人们 开始 怀疑 她 竞争力 至少 从 跳跃 难度 上 看 浅 田 真 央 历史 上 最 具 实力 选手,0,0,1,1,0,0,0,0,Anxiety
不过 金 妍 儿 新 赛季 学会 韬光养晦 身体 状态 积蓄 今年 二 三月 爆发 从而 彻底 改变 以往 半 赛季 力不从心 尴尬,1,0,1,0,0,0,0,0,"Joy,Expect"
金 妍 儿 新 赛季 短 节目 骷髅 之舞 法国 著名 作曲家 圣桑 根据 首 奇怪 诗歌 写成 这段 阴阳怪气 恐怖 颤栗 音乐 极 难 驾驭 既 演绎 出 骷髅 狂欢 又 表达 出 墓地 寂静,0,0,1,0,0,1,0,0,"Anxiety,Sorrow"
而 金 妍 儿 天才 就 体现在 对 音乐 理解 和 拿 捏 全套 节目 八 动作 天衣无缝 水银 泻地 饱满 而 充满 激情 一口气 滑 下来 毫不费力 这 曲 震撼 心灵 死亡 之舞 为 她 赢得 ７２．２４ 分 而 历史 上 还 从来 没有 人 能 跨过 ７２ 分 关口,1,0,0,0,0,0,1,0,"Love,Joy"
金 妍 儿 规定 动作 短 节目 比赛 里 着 优良 传统 早在　２００７ 世锦赛 她 就 凭借 优美 典雅 红 磨坊 赢得 ７１．９５ 分 打破 都 灵 冬奥会 亚军 美国 名将 科恩 保持 短 节目 最高 分 纪录 ７１．１２ 分,1,0,0,0,0,0,0,0,Joy
这也 充满 显示 金 妍 儿 扎实 基本功 和 唯美 艺术 表现 她 可能 没有 浅 田 真 央 那种 自由滑 动辄 三 周 半 火星 跳跃 但 其 由 内 向 外 气质 和 底蕴 却 独一无二,1,0,0,0,0,0,0,0,"Love,Joy"
据 金 妍 儿 教练 加拿大花滑名宿布莱恩－奥塞尔爆料 金 妍 儿 近来 身体 力量 提高 甚 快 尤其 双 腿 弹跳 显著 增强 在做 阿克谢尔跳时金妍儿 垂直 跳跃 高度 可以 达到　６５ 厘米 而 ＮＢＡ 著名 球星 加内特 垂直 跳跃 高度 也 仅仅 ８９ 厘米,1,0,0,0,0,0,1,0,Joy
金 妍 儿 至今 还 保持 着 自由滑 １３３．７０ 分 世界 纪录 如果 接 下 来 比赛 里 她 能 延续 目前 尚佳 状态 那么 很 可能 成为 历史 上 总分 首位 超过 ２００ 女子 单人滑 选手,1,0,0,0,1,0,0,0,Expect
与 金 妍 儿 春风得意 形成 鲜明 反差 卫冕 冠军 浅 田 真 央 不 跳空 就 转身 这位 跳跃 女王 最 擅长 环节 破绽 频 出 重蹈 去年 法国 站 大奖赛 覆辙 而 ５７．８６ 分 排名 第六 也 创造 浅 田 真 央 排名 新低 自从 转入 成年组 以来 她 还 从来 没有 名次 排 得 这么 靠,0,0,0,0,0,1,0,0,"Sorrow,Surprise"
尽管 浅 田 真 央 ０７ ０８ 世锦赛 和 ０８ 总 决赛 都 自由滑 上演 过 逆转 金 妍 儿 好戏 但 此 一时 彼 一时 如今 悬念 已经 不 金 妍 儿 能否 夺冠 而是 这位 职业 生涯 首次 参加 四 大 洲 赛 韩国 姑娘 可不可以 突破 前无古人 ２００ 分 大关,1,0,0,0,1,0,0,0,"Anxiety,Expect"
奥林匹亚 圣火 之所以 神圣 与 普罗米修斯 偷盗 天火 故事 息息相关 他 象征 着 对 一切 过去 偏 狭 自满 不 屈 即便 众 神 神 宙斯 也不是 不可 冒犯,1,0,0,0,0,1,0,0,Love
同一 世界 同一 梦想 北京 奥运 传承 希腊 神话 里 普罗米修斯 勇敢 和 无私 现代 奥运会 会 因为 中国 进行 而 显得 与众不同,1,0,0,0,0,0,0,0,"Love,Joy"
中国 传统 天 人 合一 思想 体现 人 与 自然 人 与 人 之间 和谐 相处 中国 文化 从 某种 程度 上 也 与 现代 奥林匹克 精神 完全 契合,1,0,0,0,0,0,0,0,"Love,Joy"
古 希腊 纷乱 战争 一旦 有人 从 祭坛 点燃 火炬 奔赴 各个 城邦 所有 交战 士兵 都 放下 武器 圣火 面前 人们 忘记 仇恨 偏见 和 战争,1,0,0,0,0,1,0,0,Joy
毫无疑问 北京 奥运 会 与 政治 和 隔膜 离 最 远 届 盛事 这里 人们 只 更 高 更 快 更 强 追求,1,0,0,0,1,0,0,0,"Sorrow,Expect"
柏林 奥运会 一度 成为 希特勒 纳粹 德国 表演 舞台 莫斯科 和 洛杉矶 奥运会 成为 苏 美 超级大国 冷战 牺牲品 只 北京 奥运会 完全 超出 现实 里 种种 不堪 不管 哪个 国家 哪个 地区 持 什么 信仰 人们 都 会 ０８ 奥运 上 得到 礼遇,1,0,0,1,0,1,0,0,Sorrow
这 正是 大公无私 普罗米修斯 不 计 个人 得失 为 人类 窃取 火种 精神,1,0,0,0,0,0,0,0,"Hate,Anger"
希腊 神话 里 大力神赫拉克勒斯 出于 义愤 解救 被 宙斯 困于 高加索 山上 忍受 鹰 啄 剧痛 普罗米修斯,0,1,0,1,0,0,0,0,Sorrow
而 北京 奥运 恰似 那 力 大 无边 大力神 这将 史 以来 最 纯洁 最 浩大 奥运会 没有 战争 没有 攻击 没有 西方 寡头 贪婪 和 压制,1,0,0,0,0,0,0,0,"Love,Joy"
所有 中国 人 都 体会 东道主 荣耀 和 责任 他们 急切 关注 着 希腊 进行 采 火 仪式,1,0,0,0,1,0,0,0,Expect
奥林匹克 运动 宗旨 不仅仅 促进 参与者 个人 发展 和 提高 而是 像 可以 燎原 火种 承担 着 巨大 历史 使命 和 社会 责任,1,0,0,0,0,0,0,0,"Love,Expect"
奥林匹克 精神 增进 不同 国家 不同 民族 和 不同 文化 了解 和 沟通 中国 会 肩负 起 神圣 使命 除了 体育 竞技 本身 还要 把 光明 和 欢乐 和平 和 友谊 散播 地球 每 一个 角落,1,0,0,0,1,0,0,0,Expect
普罗米修斯 火种 注定 点燃 １３亿 中国 人民 内心 激情 奥林匹克 思想 会 得到 最 深刻 最 广泛 弘扬,1,1,0,0,0,0,0,0,"Joy,Expect"
火种 会 经历 世界 各地 和 大半 中国 甚至 还要 登顶 珠穆朗玛峰 屋脊 北京 奥运会 必将 成为 历史 影响 最 深远 届 奥运会,1,0,0,0,0,0,0,0,Expect
有些 国家 把 奥运 看成 商机 有些 国家 把 奥运 视作 作秀 而 北京 奥运 高举 绿色 奥运 科技 奥运 和 人文 奥运 大旗 会 真正 意义 上 让 普罗米修斯 火种 熠熠生辉,1,0,0,0,0,0,0,0,"Love,Joy"
一直 对 劝酒 没有 太 多 思考 人家说 盛情 算是 吧,1,0,0,0,0,0,0,0,Joy
物质 匮乏 时 酒 好 东西 舍不得 管 客 喝 够,1,0,0,0,0,0,0,0,"Anxiety,Sorrow"
可是 如今 物阜 民丰 酒食 充盈 这个 理由 不再 成立 只剩 虚无 感情,1,0,0,0,0,1,0,0,Sorrow
酒精 似乎 成 液化 友谊,0,0,0,0,0,1,0,0,Love
其 实是 说谎 初次 见面 谈 何 感情 无话可 说 以 酒 充数,0,0,0,0,0,1,0,0,Sorrow
十几 年 前 少不更事 不时 烂 醉 数 年 前 带队 采访 为 保护 记者 舍身 求 醉 如今 明白 些个 道理 便 已有 数年 逃 醉,0,0,1,1,0,0,0,0,Sorrow
那些 白酒 即使 真的 好 酒 也 已 无兴趣,0,0,0,0,0,1,0,0,Sorrow
今天 中午 食堂 与 同事 说起 春节 喝酒 一想 很多 人 为何 使劲 劝酒 呢,0,0,1,0,0,0,0,0,Anger
原因 很 深刻 ： 他们 漠视 人 基本 权利 —— 生命权,0,0,0,0,0,1,0,0,"Hate,Anger"
酒 即使 真的 过多 饮 用 也 会 对 肝 对 心脏 对 大脑 等 器官 造成 严重 损害 最后 即 夺 人 性命,0,0,0,0,0,1,0,0,"Anxiety,Sorrow,Hate"
演员 牛 振华 醉酒 驾车 发生 交通 事故 死亡 醉酒 驾车 导致 他人 死亡 醉 酒 超速 驾驶 司机 死亡 呕吐物 堵塞 呼吸道 醉酒 男子 窒息 死亡 五 男子 劝酒 过度 致 年迈 工友 死亡 饮酒 过度 死亡 劝酒 同伴 赔偿 参加 婚宴 醉 酒 死亡 新人 酒店 都 成 被告 顾客 咖啡店 醉 酒 死亡 店主 因 劝酒 受审 ５ 人 频频 劝酒 致 酒友 死亡 遭 索赔 １７万 …… 随便 搜索 一下 就 得到 这些 报道,0,0,0,1,0,1,0,0,Sorrow
都 害人 性命 份 上 还有 感情 可言 吗,0,0,0,0,0,1,0,0,"Anxiety,Sorrow,Anger"
明明 知道 何以 害人,0,0,0,0,0,1,0,0,"Anxiety,Sorrow"
对 人家 生命 对 生命 都 未 放在 心上 啊,0,0,0,1,0,0,0,0,"Anxiety,Sorrow"
你 不 命 你 牛 何以 拉 上 人家 垫 背 陪 命,0,0,0,0,0,1,0,0,"Anxiety,Sorrow"
不仅 不 文明 不人道 非人性 啊,0,0,0,0,0,1,0,0,"Sorrow,Anger"
数字 说 我国 每年 酒精 中毒 人数 超过 １０００万 人 因 酗酒 肇事 立案 高 达 ４００万 起,0,0,0,0,0,1,0,0,Anxiety
全国 每年 １０万 人 死 于 车祸 而 １／３ 以上 交通 事故 发生 与 酗酒 及 酒后 驾车 有关,0,0,0,1,0,1,0,0,"Anxiety,Sorrow"
以 劝酒 ＋ 漠视 搜索 发现 有人 博客 签名 说 ： 中国 人 最 坏 习惯 就 劝酒 背后 隐藏 对 个人 权利 最 大 漠视 还 打 着 感情 与 耿直 幌子,0,0,0,0,0,1,0,0,"Hate,Anger"
哈 知音 啊,1,1,0,0,0,0,0,0,Love
哪里 只是 陋习 恶习 啊,0,0,0,0,0,1,0,0,"Hate,Anger"
以 酒 助兴 过 则 败德,0,0,0,0,0,1,0,0,"Anxiety,Sorrow,Hate"
觥筹 无知 盛馔 无辜 劝 者 无良 醉 者 呜呼,0,0,0,1,0,1,0,0,"Sorrow,Hate"
日前 ２００９年 春 晚 总 策划 秦 新民 表示 主题 定 为 中华 大 联欢 春 晚 大胆 创新,1,0,0,0,0,0,0,0,"Joy,Expect"
还有 小品 今年 不但 引入 新人 还 向 多 影视 明星 发出 邀请 不但 您 笑 而且 让 您 感到 新鲜,1,0,0,0,1,0,0,0,Joy
看到 秦 新民 策划 创意 感到 很 失望 因为 秦 新民 很 可能 把 即将 过去 ２００８年 完全 当成 极其 普通 年 看待,0,0,0,1,0,0,0,0,Sorrow
因 此 所谓 中华 大 联欢 主题 也 不会 新鲜 哪里 去 ： 除了 嘈杂 奢华 和 无聊 笑声 不 会 太 多 东西,0,0,1,0,0,0,0,0,Hate
事实上 ２００８年 不 应该 用 这些 元素 来 表现 甚至 代替,0,0,1,0,0,0,0,0,Anger
笔者 看来 ２００９年 春 晚 应该 多 一点 纪念 少 一些 奢华 和 无聊 笑声,0,0,1,0,1,0,0,0,Expect
谁 也 不 能 否认 ２００８年 经历 太 多 对此 不 能 回避 不 能 漠视 ； 每 一个 人 都 必须 承认 ２００８年 承受 太 多 所以 需要 思考 需要 纪念,0,0,0,1,0,0,0,0,"Sorrow,Expect"
不 能 忘记 奥运 成功 举办 喜悦 但 更 不 能 忘记 汶川 地震 悲痛 ； 固然 需要 新年 喜庆 可 不 忘 还有 很多 人 承受 金融 风暴 寒冬,0,1,1,1,0,0,0,0,Sorrow
大红大绿 大 紫 大 黄 色彩 还是 去掉 一些 吧 因为 ２００８ 太 多 哀伤 不 能 无数 家庭 伤口 还 滴血 时候 狂欢,0,0,0,1,0,0,0,0,"Joy,Sorrow"
那么 红色 来 一点 素淡 颜色 如何,0,0,0,0,1,0,0,0,Expect
刻意 做 作 无聊 无赖 笑料 还是 少 一点 吧 因为 ２００８ 一个 伟大 年头 不 能 显 太 浅薄,1,0,1,0,1,0,0,0,"Anxiety,Expect,Hate"
那么 让 静 静 多 一些 肃穆 岂不 更 好,1,0,0,1,1,0,0,0,Expect
诚然 中华 大 联欢 这个 主题 很 宏大 但 歌舞升平 味道 过于 浓厚 ２００８年 面前 显得 有些 俗气 用 一个 俗气 主题 去 展现 一个 特殊 年份 在我 看来 着实 有些 荒诞,1,0,0,0,0,1,0,0,"Sorrow,Hate"
目前 取消 春 晚 几乎 不 可能 但 把 它 办 简单 一点 严肃 一点 纪念 意义 强 点 应该 可行 并且 效果 会 更 好,0,0,0,0,1,0,0,0,Expect
谁 说 春 晚 必须 笑声,0,0,1,0,0,0,0,0,"Love,Joy,Anxiety,Sorrow,Expect,Hate,Surprise,Anger"
点 淡淡的 哀伤 飘 着 些许 泪花 春 晚会 让 更 多 人 记住 会 符合 更 多 人 意愿,0,0,0,1,1,0,0,0,Sorrow
所以 让 ２００９年 春 晚 多 一点 纪念 少 一些 奢华 和 无聊 笑声 吧,0,0,1,0,1,0,0,0,Expect
相信 这 很多 人 愿望,0,0,0,0,1,0,0,0,Expect
目前 第二 次 鸦片 战争 时期 流失 海外 圆明园 十二生肖 兽 首 铜像 已经 回归 五 件 分别 ： 牛 首 猴 首 虎 首 猪 首 和 马首,0,1,0,0,0,1,0,0,Sorrow
根据 佳士得 公司 现在 市场 估价 鼠 首 和 兔 首 总价 可能 会 被 拍卖 高 达 ２亿 元 人民币,0,0,0,0,0,0,1,0,"Love,Joy,Anxiety,Sorrow,Expect,Hate,Surprise,Anger"
２亿 这个 数字 已经 无异于 掠夺,0,0,0,0,0,0,0,1,Anger
